,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
396,96,Espresso Novo,Process Washed Natural/Dry Processed Harvest Time February 2017,Process Washed Natural/Dry Processed,Harvest Time February 2017,,,,
397,28,Buffalo Blend,Process Washed Natural/Dry Processed Sub Region Acatenango Varietal Bourbon,Process Washed Natural/Dry Processed,,Sub Region Acatenango,Varietal Bourbon,,
398,265,Cherry Picker,Process Washed Natural/Dry Processed Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Process Washed Natural/Dry Processed,Harvest Time December 2017-Febuary 2018,Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Varietal Mixed Heirloom Elevation 1900,Elevation 1900,
399,65,Blue Orchid Blend,Process Washed Natural/Dry Processed Sub Region Mogiana Huila Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,Process Washed Natural/Dry Processed,Harvest Time Year-round offering harvest time varies Varietal Bourbon Castillo Colombia Elevation 1000,Sub Region Mogiana Huila,Varietal Bourbon Castillo Colombia Elevation 1000,Elevation 1000,
400,111,Penrose v18,Process Washed Natural/Dry Processed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Process Washed Natural/Dry Processed,Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Varietal Pacas Elevation 1000,Elevation 1000,Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000
401,346,Phantom Limb Blend,Process Washed Natural/Dry Processed Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Process Washed Natural/Dry Processed,Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700,Varietal Ethiopian Heirloom Elevation 1700,Elevation 1700,
402,311,Organic Icebreaker Cold Brew,Process Washed Natural/Dry Processed Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia. Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Process Washed Natural/Dry Processed,Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia,Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Elevation 1750,Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750
403,357,Organic Infrared,Process Washed Natural/Dry Processed Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Process Washed Natural/Dry Processed,Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750,Varietal Typica Caturra Bourbon Colombia Elevation 1750,Elevation 1750,
404,226,Fishtown,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
405,231,Bourbon,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
406,218,Afrique,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
407,382,Decaf Bitches Brew,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,,Varietal Arabica,,
3,78,Sound & Vision,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Caturra Castillo Colombia Ethiopian Heirloom,Elevation 1000,
409,448,Blackstrap,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Catuai Catimor Icatu Mondo Novo Pacas Typica Ethiopia Heirloom Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Caturra Catuai Catimor Icatu Mondo Novo Pacas Typica Ethiopia Heirloom,Elevation 1200,
410,451,Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1000,
411,462,Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1000,
412,350,Queen City,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1200,
413,50,Organic Espresso,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,Elevation 1200,
414,133,Caffe Del Sol,Process Washed Natural/Dry Processed Varietal Bourbon Typica,Process Washed Natural/Dry Processed,,,Varietal Bourbon Typica,,
415,260,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,
416,259,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,
417,388,Petunias,Process Washed Natural/Dry Processed Varietal Caturra,Process Washed Natural/Dry Processed,,,Varietal Caturra,,
418,154,Stoker,Process Washed Natural/Dry Processed Varietal Changes Seasonally,Process Washed Natural/Dry Processed,,,Varietal Changes Seasonally,,
419,327,Orion Signature Espresso,Process Washed Natural/Dry Processed Varietal Heirloom Bourbon Castillo Caturra,Process Washed Natural/Dry Processed,,,Varietal Heirloom Bourbon Castillo Caturra,,
420,102,East Coast,Process Washed Natural/Dry Processed Varietal Multiple,Process Washed Natural/Dry Processed,,,Varietal Multiple,,
421,36,Zip Zinger,Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,,Varietal Various,,
422,108,World's Best Espresso (WBC),Process Washed Natural/Dry Processed Varietal Various,Process Washed Natural/Dry Processed,,,Varietal Various,,
461,187,Indonesia Sumatra,Process Washed Wet-hulled,Process Washed Wet-hulled,,,,,
462,377,Indonesia,Process Wet-hulled Sub Region Northern Sumatra & Aceh Varietal Crowned Garuda (Arabica) Elevation 1100 - 1300,Process Wet-hulled,,Sub Region Northern Sumatra & Aceh,Varietal Crowned Garuda (Arabica),Elevation 1100 - 1300,
463,366,French Roast,Process Wet-hulled Sub Region Sumatra Java Varietal Catimor Bourbon Typica Caturra Elevation 1200 - 1500,Process Wet-hulled,,Sub Region Sumatra Java,Varietal Catimor Bourbon Typica Caturra,Elevation 1200 - 1500,
464,67,Indonesia Java Blue Batavia,Process Wet-hulled Sub Region West Java Varietal Linie S795 Jember Elevation 2300 - 2400,Process Wet-hulled,,Sub Region West Java,Varietal Linie S795 Jember,Elevation 2300 - 2400,
436,224,Chicago House Blend,Process Washed Pulped Natural Sub Region Cajamarca Minais Gerais Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,Process Washed Pulped Natural,Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,Sub Region Cajamarca Minais Gerais Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,Varietal Typica Yellow Bourbon,,
437,362,Blacksmith Espresso,Process Washed Pulped Natural Sub Region Carmo de Minas Tarrazu Tolima Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,Process Washed Pulped Natural,,Sub Region Carmo de Minas Tarrazu Tolima Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,,Elevation 1100,
438,363,Bassline Espresso Blend,Process Washed Pulped Natural Sub Region Minais Gerais Sidamo Harvest Time September 2017 Varietal Yellow Bourbon Heirloom Ethiopian Elevation 1100,Process Washed Pulped Natural,Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945,,Varietal Yellow Catuai Colombia Castillo Elevation 945,Elevation 945,
439,468,Bear Hug Espresso,Process Washed Pulped Natural Sub Region Tarrazu Cajamarca Valle de Grama Producer Luis Ureña (CR) Valentin Guerrero Zurita (P) Carvalho Family (B) Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Process Washed Pulped Natural,Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Sub Region Tarrazu Cajamarca Valle de Grama Producer Luis Ureña (CR) Valentin Guerrero Zurita (P) Carvalho Family (B) Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B),Elevation 1800 (CR) 1350 (P) 950 (B),
0,88,El Salvador Santa Rosa Honey,Process Honey Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850,Process Honey,,Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850,Varietal Pacamara Elevation 1800 - 1850,Elevation 1800 - 1850,Producer Jorge Raul Rivera
1,90,Panama Hartmann Honey,Process Honey Sub Region Chiriqui Producer Hartmann Family Harvest Time Jan 2018 - March 2018 Elevation 1300,Process Honey,Harvest Time Jan 2018 - March 2018,Sub Region Chiriqui ,,Elevation 1300,Producer Hartmann Family 
2,430,El Salvador La Montanita,Process Honey Sub Region El Tùnel Chaletenango Producer Antonio René Aguilar Varietal Pacamara Elevation 1350 - 1700,Process Honey,,Sub Region El Tùnel Chaletenango,Varietal Pacamara,Elevation 1350 - 1700,Producer Antonio René Aguilar
3,443,Costa Rica Sumava,Process Honey Sub Region Lourdes de Naranjo West Valley Producer Francisco Mena Harvest Time January-April Elevation 1670,Process Honey,Harvest Time January-April,Sub Region Lourdes de Naranjo West Valley,,Elevation 1670,Producer Francisco Mena Harvest Time January-April Elevation 1670
4,464,Colombia Aponte Village,Process Honey Sub Region Nariño Varietal Caturra & Bourbon Elevation 2000 - 2100,Process Honey,,Sub Region Nariño ,Varietal Caturra & Bourbon,Elevation 2000 - 2100,
5,410,Costa Rica Francisco Ruiz,Process Honey Sub Region Tambor Producer Francisco Ruiz Bolaños & Jaime Ruiz Carmona Varietal Caturra Catuai Elevation 1600,Process Honey,,Sub Region Tambor ,Varietal Caturra Catuai,Elevation 1600,Producer Francisco Ruiz Bolaños & Jaime Ruiz Carmona
6,434,Costa Rica La Bandera,Process Honey Sub Region Tarrazu Producer Diego Hidalgo Harvest Time March 2018 Varietal Caturra Elevation null - 1900,Process Honey,Harvest Time March 2018,Sub Region Tarrazu,Varietal Caturra,Elevation null - 1900,Producer Diego Hidalgo
7,8,"Ethiopia, Semalo Pride Honey",Process Honey Sub Region Yirgacheffe Producer Firewoyne Tesfaye Harvest Time January - June 2017 Varietal Ethiopia Heirloom Elevation 1800 - 2100,Process Honey,Harvest Time January - June 2017,Sub Region Yirgacheffe,Varietal Ethiopia Heirloom ,Elevation 1800 - 2100,Producer Firewoyne Tesfaye
8,261,Burundi - Nkonge Natural,Process Natural/Dry Processed Producer Long Miles Coffee Project Varietal Bourbon Elevation 1900 - 2100,Process Natural/Dry Processed,,,Varietal Bourbon,Elevation 1900 - 2100,Producer Long Miles Coffee Project 
9,417,"El Molino, El Salvador",Process Natural/Dry Processed Producer The Salaverria family Varietal Bourbon,Process Natural/Dry Processed,,,Varietal Bourbon,,Producer The Salaverria family
10,284,Guatemala Finca Palestina Natural,Process Natural/Dry Processed Sub Region Acatenango Producer Joel Perez Harvest Time 2018 Elevation 1500,Process Natural/Dry Processed,Harvest Time 2018,Sub Region Acatenango,,Elevation 1500,Producer Joel Perez
11,79,Brazil Blue Diamond,Process Natural/Dry Processed Sub Region Cerrado Minero Varietal Arabica Elevation 800 - 1300,Process Natural/Dry Processed,,Sub Region Cerrado Minero ,Varietal Arabica ,Elevation 800 - 1300,
12,221,Daterra,Process Natural/Dry Processed Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July 2017 Varietal Bourbon Elevation 3600 - 3900,Process Natural/Dry Processed,Harvest Time July 2017,Sub Region Cerrado,Varietal Bourbon ,Elevation 3600 - 3900,Producer Luis Norberto Pascoal
13,458,"Laurina, Brazil",Process Natural/Dry Processed Sub Region Cerrado Producer Luis Pascoal Harvest Time August-September 2016 Varietal Laurina Elevation 1100 - 1100,Process Natural/Dry Processed,Harvest Time August-September 2016 Varietal Laurina Elevation 1100 - 1100,Sub Region Cerrado,Varietal Laurina ,Elevation 1100 - 1100,Producer Luis Pascoal
14,240,Brazil Fazenda Primavera,Process Natural/Dry Processed Sub Region Chapada De Minas Producer Ricardo Tavares Harvest Time September 2017 Varietal Yellow Catuai Elevation 1000 - 1000,Process Natural/Dry Processed,Harvest Time September 2017,Sub Region Chapada De Minas ,Varietal Yellow Catuai,Elevation 1000 - 1000,Producer Ricardo Tavares 
15,293,Gesha Village 2016 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2015-2016 Varietal Heirloom Gesha Elevation 1900 - 2100,Process Natural/Dry Processed,Harvest Time November-January 2015-2016,Sub Region Gesha,Varietal Heirloom Gesha,Elevation 1900 - 2100,Producer Adam Overton and Rachel Samuel
16,10,Gesha Village 2017 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2016-2017 Varietal Heirloom Gesha Elevation 1900 - 2100,Process Natural/Dry Processed,Harvest Time November-January 2016-2017 ,Sub Region Gesha ,Varietal Heirloom Gesha ,Elevation 1900 - 2100,Producer Adam Overton and Rachel Samuel 
17,126,Water Processed Decaf,Process Natural/Dry Processed Sub Region Guaxupé Varietal Red Catuaí,Process Natural/Dry Processed,,Sub Region Guaxupé ,Varietal Red Catuaí,,
18,281,Decaf Ethiopia Kercha,Process Natural/Dry Processed Sub Region Guji Kercha Producer Small producers Harvest Time January 2018 Varietal Heriloom Elevation 1900 - 2100,Process Natural/Dry Processed,Harvest Time January 2018,Sub Region Guji Kercha,Varietal Heirloom,Elevation 1900 - 2100,Producer Small producers
19,207,Ethiopia Guji Organic,Process Natural/Dry Processed Sub Region Guji Varietal Heirloom,Process Natural/Dry Processed,,Sub Region Guji,Varietal Heirloom,,
20,77,Ethiopia,Process Natural/Dry Processed Sub Region Guji Varietal Indigenous Heirloom Cultivars Elevation 1900 - 2150,Process Natural/Dry Processed,,Sub Region Guji,Varietal Indigenous Heirloom Cultivar,Elevation 1900 - 2150,
21,24,Ethiopia Sidama Ardi,Process Natural/Dry Processed Sub Region Guji Borena Hagermariam District Producer Nardos Coffee Varietal Heirloom Elevation 1750 - 1800,Process Natural/Dry Processed,,Sub Region Guji Borena Hagermariam District,Varietal Heirloom,Elevation 1750 - 1800,Producer Nardos Coffee
22,118,Ethiopia Dimtu,Process Natural/Dry Processed Sub Region Hambela Harvest Time November 2017 - January 2018 Varietal Heirloom Elevation 2004 - 2004,Process Natural/Dry Processed,Harvest Time November 2017 - January 2018,Sub Region Hambela,Varietal Heirloom,Elevation 2004 - 2004,
23,250,Hambela Estate – Alaka,Process Natural/Dry Processed Sub Region Hambela Guji Producer Adinew Harvest Time October 2017 – January 2018 Varietal Heirloom Elevation 1900 - 2200,Process Natural/Dry Processed,Harvest Time October 2017 – January 2018,Sub Region Hambela Guji,Varietal Heirloom,Elevation 1900 - 2200,Producer Adinew
24,138,Limmu Kossa Estate Natural Ethiopia,Process Natural/Dry Processed Sub Region Jimma Varietal Heirloom Elevation 1800 - 2100,Process Natural/Dry Processed,,Sub Region Jimma,Varietal Heirloom,Elevation 1800 - 2100,
25,37,Ethiopia Ardi,Process Natural/Dry Processed Sub Region Kilenso Mokonisa Sidama Producer Various Smallholders Israel Degefa Wet Mill Varietal Ethiopian Heirloom Elevation 1800 - 2100,Process Natural/Dry Processed,,Sub Region Kilenso Mokonisa Sidama,Varietal Ethiopian Heirloom,Elevation 1800 - 2100,Producer Various Smallholders Israel Degefa Wet Mill
26,403,Ethiopia Kochere,Process Natural/Dry Processed Sub Region Kochere Varietal Heirloom Elevation 1800 - 1900,Process Natural/Dry Processed,,Sub Region Kochere,Varietal Heirloom,Elevation 1800 - 1900,
27,35,"Party, Ethiopia",Process Natural/Dry Processed Sub Region Kore Kochere Producer Boji Washing Station Harvest Time December 2017 - January 2018 Varietal Heirloom Elevation 1800 - 1900,Process Natural/Dry Processed,Harvest Time December 2017 - January 2018,Sub Region Kore Kochere,Varietal Heirloom,Elevation 1800 - 1900,Producer Boji Washing Station
28,66,Brasil Fazenda Furnas,Process Natural/Dry Processed Sub Region Minas Gerais Producer Rinaldo de Castro Junqueira Varietal Yellow Bourbon Elevation 1350 - 1350,Process Natural/Dry Processed,,Sub Region Minas Gerais,Varietal Yellow Bourbon,Elevation 1350 - 1350,Producer Rinaldo de Castro Junqueira
29,223,Decaf Blackstrap,Process Natural/Dry Processed Sub Region Mogiana Harvest Time May-July Elevation 800 - 1200,Process Natural/Dry Processed,Harvest Time May-July,Sub Region Mogian,,Elevation 800 - 1200,
30,16,Costa Rica Perla Negra Natural,Process Natural/Dry Processed Sub Region Sabanilla de Alajuela Central Valley Producer Oscar and Francisca Chacon Varietal Various Elevation 1450,Process Natural/Dry Processed,,Sub Region Sabanilla de Alajuela Central Valley,Varietal Various,Elevation 1450,Producer Oscar and Francisca Chacon
31,15,Ethiopia Bensa Shantawene Natural,Process Natural/Dry Processed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300,Process Natural/Dry Processed,Harvest Time November through February,Sub Region Sidama,Varietal Mikicho Setami Heirloom,Elevation 2000 - 2300,
40,20,Brasil,Process Pulped Natural Sub Region Carmo de Minas Varietal Yellow bourbon,Process Pulped Natural,,Sub Region Carmo de Minas,Varietal Yellow bourbon,,
41,289,"Daterra, Brazil",Process Pulped Natural Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July-September Varietal Bourbon Elevation 1200 - 1200,Process Pulped Natural,Harvest Time July-September,Sub Region Cerrado,Varietal Bourbon,Elevation 1200 - 1200,Producer Luis Norberto Pascoal
42,251,El Salvador,Process Pulped Natural Sub Region Juayua Producer Jose Antonio Salaverria Varietal Bourbon & Pacas Elevation 1500 - 1750,Process Pulped Natural,,Sub Region Juayua,Varietal Bourbon & Pacas,Elevation 1500 - 1750,Producer Jose Antonio Salaverria
43,243,Decaf Chicago House Blend,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Bourbon Icatu Elevation 1100,Process Pulped Natural,Harvest Time September 2017,Sub Region Minais Gerais,Varietal Bourbon Icatu,Elevation 1100,
44,338,Brazil Fazenda Primavera,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Mundo Novo Elevation 1000 - 1050,Process Pulped Natural,Harvest Time September 2017,Sub Region Minais Gerais,Varietal Mundo Novo,Elevation 1000 - 1050,
45,140,Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300,Process Pulped Natural,,Sub Region Minas Gerais,Varietal Mixed,Elevation 1200 - 1300,Producer Mixed
46,135,Brazil Matas de Minas,Process Pulped Natural Sub Region Minas Gerais Producer Mixed Varietal Mixed Elevation 1200 - 1300,Process Pulped Natural,,Sub Region Minas Gerais,Varietal Mixed,Elevation 1200 - 1300,Producer Mixed
47,365,Binary Espresso,Process Pulped Natural Sub Region Mogiana Harvest Time 2017 Varietal Bourbon,Process Pulped Natural,Harvest Time 2017,Sub Region Mogiana,Varietal Bourbon,,
48,321,Brazil,Process Pulped Natural Sub Region Patos de Minas Producer Wagner Ferrero Varietal Yellow Catuai Yellow Bourbon Elevation 1150,Process Pulped Natural,,Sub Region Patos de Minas,Varietal Yellow Catuai Yellow Bourbon,Elevation 1150,Producer Wagner Ferrero
49,143,"Serra Negra, Brazil",Process Pulped Natural Sub Region South Minas Varietal Bourbon Typica Catuai,Process Pulped Natural,,Sub Region South Minas,Varietal Bourbon Typica Catuai,,
50,344,Sumatra,Process Pulped Natural Varietal Hibrido de Timo Bourbon,Process Pulped Natural,,,Varietal Hibrido de Timo Bourbon,,
